iter	Passed	Remaining
420	1018	1400
421	1021	1398
422	1024	1397
423	1026	1394
424	1028	1390
425	1029	1387
426	1031	1384
427	1033	1381
428	1036	1379
429	1040	1379
430	1042	1375
431	1043	1372
432	1046	1369
433	1048	1367
434	1050	1364
435	1054	1363
436	1056	1360
437	1058	1357
438	1059	1354
439	1061	1350
440	1063	1347
441	1064	1344
442	1078	1355
443	1081	1353
444	1085	1353
445	1087	1351
446	1089	1348
447	1091	1344
448	1094	1343
449	1096	1340
450	1101	1340
451	1103	1337
452	1105	1334
453	1108	1333
454	1110	1330
455	1113	1328
456	1115	1325
457	1118	1323
458	1119	1319
459	1121	1316
460	1127	1318
461	1130	1316
462	1132	1314
463	1134	1310
464	1136	1307
465	1138	1304
466	1139	1301
467	1142	1298
468	1144	1296
469	1146	1292
470	1148	1289
471	1150	1286
472	1152	1284
473	1154	1281
474	1157	1278
475	1158	1275
476	1160	1272
477	1162	1269
478	1164	1266
479	1166	1263
480	1167	1260
481	1172	1259
482	1173	1256
483	1175	1252
484	1177	1250
485	1179	1247
486	1181	1244
487	1182	1240
488	1185	1239
489	1188	1236
490	1190	1234
491	1193	1232
492	1196	1230
493	1199	1228
494	1203	1227
495	1205	1224
496	1207	1222
497	1210	1219
498	1212	1217
499	1216	1216
500	1218	1213
501	1220	1210
502	1223	1209
503	1225	1206
504	1227	1203
505	1233	1204
506	1235	1201
507	1239	1200
508	1241	1197
509	1243	1194
510	1248	1194
511	1250	1191
512	1252	1188
513	1254	1186
514	1256	1183
515	1259	1181
516	1262	1179
517	1264	1176
518	1266	1173
519	1268	1170
520	1270	1167
521	1275	1167
522	1277	1165
523	1279	1162
524	1284	1162
525	1286	1159
526	1287	1155
527	1291	1154
528	1293	1151
529	1295	1149
530	1298	1146
531	1301	1144
532	1303	1141
533	1307	1141
534	1309	1138
535	1311	1135
536	1313	1132
537	1315	1130
538	1317	1127
539	1321	1125
540	1323	1122
541	1325	1119
542	1328	1117
543	1329	1114
544	1331	1111
545	1333	1108
546	1336	1107
547	1338	1104
548	1340	1101
549	1342	1098
550	1344	1095
551	1346	1092
552	1348	1090
553	1350	1087
554	1352	1084
555	1354	1081
556	1356	1078
557	1357	1075
558	1359	1072
559	1361	1069
560	1364	1068
561	1366	1065
562	1369	1063
563	1371	1060
564	1373	1057
565	1375	1054
566	1376	1051
567	1379	1049
568	1381	1046
569	1382	1043
570	1384	1040
571	1387	1038
572	1389	1035
573	1393	1034
574	1395	1031
575	1401	1031
576	1403	1028
577	1407	1027
578	1410	1025
579	1414	1024
580	1416	1021
581	1417	1018
582	1419	1015
583	1422	1012
584	1424	1010
585	1425	1007
586	1427	1004
587	1429	1001
588	1430	998
589	1432	995
590	1433	992
591	1437	990
592	1439	987
593	1440	984
594	1442	981
595	1443	978
596	1445	975
597	1447	972
598	1448	969
599	1450	966
600	1452	964
601	1454	961
602	1455	958
603	1457	955
604	1458	952
605	1460	949
606	1462	946
607	1463	943
608	1465	941
609	1467	938
610	1468	935
611	1470	932
612	1471	929
613	1473	926
614	1474	923
615	1475	919
616	1477	917
617	1480	915
618	1482	912
619	1483	909
620	1485	906
621	1488	904
622	1490	901
623	1491	898
624	1493	895
625	1495	893
626	1497	890
627	1498	887
628	1499	884
629	1501	881
630	1503	879
631	1504	876
632	1506	873
633	1508	870
634	1510	868
635	1511	865
636	1513	862
637	1514	859
638	1516	856
639	1518	853
640	1519	851
641	1521	848
642	1523	845
643	1525	843
644	1527	840
645	1528	837
646	1531	835
647	1533	832
648	1534	830
649	1536	827
650	1539	825
651	1541	822
652	1542	819
653	1544	816
654	1545	814
655	1547	811
656	1548	808
657	1550	805
658	1553	803
659	1555	801
660	1557	798
661	1559	796
662	1560	793
663	1562	790
664	1563	787
665	1565	785
666	1569	783
667	1571	780
668	1573	778
669	1575	775
670	1577	773
671	1580	771
672	1582	768
673	1584	766
674	1585	763
675	1587	760
676	1589	758
677	1591	755
678	1593	753
679	1595	750
680	1597	748
681	1599	745
682	1601	743
683	1603	740
684	1604	737
685	1606	735
686	1608	732
687	1611	730
688	1613	728
689	1615	725
690	1617	723
691	1618	720
692	1620	717
693	1622	715
694	1623	712
695	1628	711
696	1630	708
697	1632	706
698	1634	703
699	1636	701
700	1638	698
701	1643	697
702	1645	695
703	1647	692
704	1649	690
705	1651	687
706	1652	684
707	1654	682
708	1657	680
709	1659	677
710	1660	675
711	1662	672
712	1664	669
713	1666	667
714	1668	665
715	1671	662
716	1673	660
717	1675	658
718	1677	655
719	1679	653
720	1682	650
721	1687	649
722	1689	647
723	1691	644
724	1693	642
725	1695	639
726	1696	637
727	1698	634
728	1702	632
729	1705	630
730	1707	628
731	1708	625
732	1710	623
733	1712	620
734	1715	618
735	1717	616
736	1719	613
737	1721	611
738	1723	608
739	1725	606
740	1728	604
741	1730	601
742	1732	599
743	1734	596
744	1736	594
745	1738	591
746	1739	589
747	1741	586
748	1743	584
749	1745	581
750	1747	579
751	1749	576
752	1751	574
753	1753	572
754	1755	569
755	1757	567
756	1759	564
757	1763	562
758	1765	560
759	1767	558
760	1769	555
761	1772	553
762	1775	551
763	1777	549
764	1779	546
765	1780	543
766	1782	541
767	1784	538
768	1785	536
769	1787	533
770	1789	531
771	1791	529
772	1794	526
773	1795	524
774	1797	521
775	1799	519
776	1801	516
777	1802	514
778	1805	512
779	1806	509
780	1808	507
781	1809	504
782	1811	502
783	1813	499
784	1815	497
785	1816	494
786	1819	492
787	1821	489
788	1822	487
789	1824	485
790	1827	482
791	1829	480
792	1831	477
793	1833	475
794	1835	473
795	1837	470
796	1839	468
797	1840	465
798	1842	463
799	1843	460
800	1845	458
801	1848	456
802	1850	453
803	1852	451
804	1854	449
805	1856	446
806	1859	444
807	1864	442
808	1866	440
809	1868	438
810	1870	435
811	1873	433
812	1874	431
813	1876	428
814	1878	426
815	1879	423
816	1881	421
817	1883	418
818	1884	416
819	1887	414
820	1889	411
821	1892	409
822	1894	407
823	1896	405
824	1898	402
825	1900	400
826	1902	398
827	1904	395
828	1905	393
829	1909	391
830	1911	388
831	1914	386
832	1916	384
833	1917	381
834	1919	379
835	1922	377
836	1924	374
837	1926	372
838	1928	370
839	1930	367
840	1932	365
841	1934	362
842	1936	360
843	1938	358
844	1940	355
845	1941	353
846	1943	351
847	1945	348
848	1947	346
849	1949	343
850	1952	341
851	1956	339
852	1959	337
853	1960	335
854	1962	332
855	1964	330
856	1967	328
857	1969	325
858	1971	323
859	1972	321
860	1975	318
861	1977	316
862	1979	314
863	1983	312
864	1984	309
865	1986	307
866	1989	305
867	1992	303
868	1994	300
869	1997	298
870	2000	296
871	2003	294
872	2004	291
873	2006	289
874	2007	286
875	2010	284
876	2012	282
877	2014	279
878	2016	277
879	2017	275
880	2019	272
881	2020	270
882	2022	267
883	2024	265
884	2030	263
885	2032	261
886	2034	259
887	2035	256
888	2037	254
889	2038	252
890	2042	249
891	2048	247
892	2050	245
893	2051	243
894	2053	240
895	2055	238
896	2059	236
897	2061	234
898	2063	231
899	2065	229
900	2067	227
901	2071	225
902	2075	222
903	2077	220
904	2078	218
905	2080	215
906	2083	213
907	2087	211
908	2090	209
909	2093	207
910	2095	204
911	2096	202
912	2100	200
913	2103	197
914	2106	195
915	2111	193
916	2113	191
917	2117	189
918	2119	186
919	2122	184
920	2124	182
921	2126	179
922	2131	177
923	2134	175
924	2136	173
925	2138	170
926	2140	168
927	2145	166
928	2149	164
929	2151	161
930	2152	159
931	2154	157
932	2156	154
933	2162	152
934	2165	150
935	2167	148
936	2169	145
937	2171	143
938	2174	141
939	2178	139
940	2180	136
941	2182	134
942	2184	132
943	2185	129
944	2195	127
945	2196	125
946	2198	123
947	2202	120
948	2205	118
949	2207	116
950	2209	113
951	2211	111
952	2215	109
953	2220	107
954	2222	104
955	2225	102
956	2228	100
957	2235	97
958	2237	95
959	2239	93
960	2241	90
961	2242	88
962	2246	86
963	2249	84
964	2251	81
965	2253	79
966	2254	76
967	2256	74
968	2258	72
969	2262	69
970	2265	67
971	2268	65
972	2271	63
973	2278	60
974	2281	58
975	2284	56
976	2286	53
977	2291	51
978	2296	49
979	2299	46
980	2301	44
981	2307	42
982	2310	39
983	2312	37
984	2314	35
985	2317	32
986	2322	30
987	2325	28
988	2327	25
989	2329	23
990	2330	21
991	2332	18
992	2336	16
993	2339	14
994	2340	11
995	2343	9
996	2345	7
997	2347	4
998	2354	2
999	2356	0
